month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Postal,Latitude,Longitude,District,closest_mrt_stn,mrt_stn_distance_km
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 04 months,232000.0,560406,1.36200453938712,103.853879910407,20.0,ANG MO KIO MRT STATION,1.0069332364549297
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,60 years 07 months,250000.0,560108,1.37096635222625,103.838201940326,20.0,MAYFLOWER MRT STATION,0.1957268578203101
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,262000.0,560602,1.38070883044887,103.835368226602,20.0,LENTOR MRT STATION,0.4659953231188325
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,62 years 01 month,265000.0,560465,1.3662010408294,103.857200967235,20.0,ANG MO KIO MRT STATION,0.9447234561774963
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,265000.0,560601,1.38104134784496,103.835131744823,20.0,LENTOR MRT STATION,0.44101064323993
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,63 years,275000.0,560150,1.37680678506745,103.842017962576,20.0,YIO CHU KANG MRT STATION,0.6344968421542269
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,280000.0,560447,1.36747901420817,103.855967139125,20.0,ANG MO KIO MRT STATION,0.7615662813254853
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,58 years 04 months,285000.0,560218,1.36511908595886,103.84174247848901,20.0,MAYFLOWER MRT STATION,0.9469147069422197
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,285000.0,560447,1.36747901420817,103.855967139125,20.0,ANG MO KIO MRT STATION,0.7615662813254853
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,61 years 04 months,285000.0,560571,1.3700550129604303,103.85488055876,20.0,ANG MO KIO MRT STATION,0.5882568667718768
